1648201522.0504067,54.31,594331
1648201582.1105032,49.8,594350
1648201724.2184658,60.0,594382
1648201784.276249,37.89,594396
1648201844.3384385,48.76,594409
1648201904.400695,51.99,594423
1648201964.4655547,47.6,594436
1648202024.523975,53.55,594452
1648202084.590858,47.21,594463
1648202144.6510277,43.3,594470
1648202204.7168398,39.28,594490
1648202264.780249,53.78,594506
1648202324.8415525,51.58,594521
1648202384.9040835,51.15,594533
1648202444.960841,47.3,594542
1648202505.021304,57.25,594564
1648202565.087057,57.25,594578
1648202625.151446,57.25,594594
1648202685.2115533,57.25,594614
1648214030.0192754,56.97,597342
1648214090.0834448,52.78,597365
1648214150.1472843,52.78,597382
1648214210.2092843,52.78,597392
1648214270.273468,52.78,597409
1648214330.333797,52.78,597428
1648214390.3980286,52.78,597440
1648214450.4593716,52.78,597454
1648214510.5225534,52.78,597469
1648214570.5845933,52.78,597485
1648214630.6448715,52.78,597495
1648214690.7120333,52.78,597513
1648214750.7796495,52.78,597530
1648214810.841922,52.78,597547
1648214870.9075718,52.78,597560
1648214930.9683418,51.49,597573
1648214991.0344508,50.2,597592
1648215051.099537,52.25,597604
1648215260.7234135,50.13,597651
1648215320.7916746,44.13,597671
1648215380.853775,46.52,597686
1648215440.9188445,52.59,597705
1648215500.9856877,46.47,597720
1648215561.0538223,46.56,597740
1648215621.1146882,52.27,597757
1648215681.1796787,48.99,597775
1648215741.240924,45.19,597786
1648215801.302794,54.82,597810
1648215861.3646336,42.91,597822
1648215921.4316566,52.34,597839
1648215981.4942086,46.72,597857
1648216041.5606854,45.72,597873
1648216101.6235206,51.22,597897
1648216161.6875355,44.21,597913
1648216221.7548723,53.34,597929
1648216281.821137,50.38,597945
1648216341.8871455,50.74,597959
1648216401.9481385,50.32,597974
1648216462.010343,49.67,597988
1648216522.0761101,45.0,598002
1648547104.156561,60.0,653936
1648547164.2196634,36.32,653945
1648547224.2892578,33.32,653953
1648547284.3579946,49.34,653961
1648547344.4204187,39.77,653968
1648547404.4857419,41.94,653979
1648547464.5466852,42.52,653993
1648547524.6100428,42.39,653998
1648547584.67679,43.39,654007
1648547644.7426996,39.41,654013
1648547704.8051558,28.58,654018
1648547764.8713524,20.05,654022
1648547824.935644,33.42,654031
1648547885.0017684,49.51,654042
1648547945.067084,39.57,654048
1648548005.1293423,43.36,654054
1648548065.1914322,40.21,654062
1648548125.253461,46.35,654071
1648548185.3195052,48.08,654082
1648548245.3810427,34.9,654087
1648548305.4468112,41.48,654096
1648548365.511692,42.79,654105
1648548425.5802243,38.98,654116
1648548485.6510196,49.27,654127
1648548545.713456,50.44,654140
1648548605.7794416,30.39,654146
1648548665.8430784,47.27,654158
1648548725.90537,40.54,654168
1648548785.9745176,39.73,654174
